Date,strategy,side,signal,market_state,pred_conf,entry_price,exit_price,intraday_ret,ret
2025-08-15,direct_oos,short,-1.0,bullish,,6477.3798828125,6449.7998046875,-0.004257906533810529,0.004257906533810529
2025-08-15,markov_oos_argmax,long,1.0,bullish,0.7567567567567568,6477.3798828125,6449.7998046875,-0.004257906533810529,-0.004257906533810529
2025-08-15,markov_oos_thresh,long,1.0,bullish,0.7567567567567568,6477.3798828125,6449.7998046875,-0.004257906533810529,-0.004257906533810529
2025-08-18,direct_oos,short,-1.0,bullish,,6445.02001953125,6449.14990234375,0.0006407866538791218,-0.0006407866538791218
2025-08-18,markov_oos_thresh,long,1.0,bullish,0.7567567567567568,6445.02001953125,6449.14990234375,0.0006407866538791218,0.0006407866538791218
2025-08-18,markov_oos_argmax,long,1.0,bullish,0.7567567567567568,6445.02001953125,6449.14990234375,0.0006407866538791218,0.0006407866538791218
2025-08-19,markov_oos_thresh,long,1.0,bullish,0.7567567567567568,6446.240234375,6411.3701171875,-0.005409372893295683,-0.005409372893295683
2025-08-19,markov_oos_argmax,long,1.0,bullish,0.7567567567567568,6446.240234375,6411.3701171875,-0.005409372893295683,-0.005409372893295683
2025-08-19,direct_oos,short,-1.0,bullish,,6446.240234375,6411.3701171875,-0.005409372893295683,0.005409372893295683
2025-08-20,markov_oos_thresh,long,1.0,bullish,0.7567567567567568,6406.6201171875,6395.77978515625,-0.001692051632992575,-0.001692051632992575
2025-08-20,markov_oos_argmax,long,1.0,bullish,0.7567567567567568,6406.6201171875,6395.77978515625,-0.001692051632992575,-0.001692051632992575
2025-08-21,markov_oos_thresh,long,1.0,bullish,0.7567567567567568,6380.830078125,6370.169921875,-0.0016706535230495145,-0.0016706535230495145
2025-08-21,markov_oos_argmax,long,1.0,bullish,0.7567567567567568,6380.830078125,6370.169921875,-0.0016706535230495145,-0.0016706535230495145
2025-08-21,direct_oos,short,-1.0,bullish,,6380.830078125,6370.169921875,-0.0016706535230495145,0.0016706535230495145
2025-08-22,markov_oos_thresh,long,1.0,bullish,0.7567567567567568,6384.58984375,6466.91015625,0.012893594500919203,0.012893594500919203
2025-08-22,markov_oos_argmax,long,1.0,bullish,0.7567567567567568,6384.58984375,6466.91015625,0.012893594500919203,0.012893594500919203
2025-08-22,direct_oos,short,-1.0,bullish,,6384.58984375,6466.91015625,0.012893594500919203,-0.012893594500919203
2025-08-25,markov_oos_thresh,long,1.0,bearish,0.7567567567567568,6457.669921875,6439.31982421875,-0.002841597337468471,-0.002841597337468471
2025-08-25,markov_oos_argmax,long,1.0,bearish,0.7567567567567568,6457.669921875,6439.31982421875,-0.002841597337468471,-0.002841597337468471
2025-08-25,direct_oos,long,1.0,bearish,,6457.669921875,6439.31982421875,-0.002841597337468471,-0.002841597337468471
2025-08-26,markov_oos_thresh,short,-1.0,bearish,0.7657657657657657,6435.490234375,6465.93994140625,0.0047315287448659316,-0.0047315287448659316
2025-08-26,direct_oos,short,-1.0,bearish,,6435.490234375,6465.93994140625,0.0047315287448659316,-0.0047315287448659316
2025-08-26,markov_oos_argmax,short,-1.0,bearish,0.7657657657657657,6435.490234375,6465.93994140625,0.0047315287448659316,-0.0047315287448659316
2025-08-27,direct_oos,long,1.0,bearish,,6462.259765625,6481.39990234375,0.002961833385368262,0.002961833385368262
2025-08-27,markov_oos_thresh,short,-1.0,bearish,0.7657657657657657,6462.259765625,6481.39990234375,0.002961833385368262,-0.002961833385368262
2025-08-27,markov_oos_argmax,short,-1.0,bearish,0.7657657657657657,6462.259765625,6481.39990234375,0.002961833385368262,-0.002961833385368262
2025-08-28,direct_oos,long,1.0,bearish,,6483.83984375,6501.85986328125,0.002779220333244403,0.002779220333244403
2025-08-28,markov_oos_thresh,short,-1.0,bearish,0.7657657657657657,6483.83984375,6501.85986328125,0.002779220333244403,-0.002779220333244403
2025-08-28,markov_oos_argmax,short,-1.0,bearish,0.7657657657657657,6483.83984375,6501.85986328125,0.002779220333244403,-0.002779220333244403
2025-08-29,direct_oos,long,1.0,bearish,,6489.27978515625,6460.259765625,-0.004471993887153913,-0.004471993887153913
2025-08-29,markov_oos_thresh,short,-1.0,bearish,0.7657657657657657,6489.27978515625,6460.259765625,-0.004471993887153913,0.004471993887153913
2025-08-29,markov_oos_argmax,short,-1.0,bearish,0.7657657657657657,6489.27978515625,6460.259765625,-0.004471993887153913,0.004471993887153913
2025-09-02,direct_oos,long,1.0,bearish,,6401.509765625,6415.5400390625,0.0021917131975397464,0.0021917131975397464
2025-09-02,markov_oos_argmax,short,-1.0,bearish,0.7657657657657657,6401.509765625,6415.5400390625,0.0021917131975397464,-0.0021917131975397464
2025-09-02,markov_oos_thresh,short,-1.0,bearish,0.7657657657657657,6401.509765625,6415.5400390625,0.0021917131975397464,-0.0021917131975397464
2025-09-03,markov_oos_argmax,short,-1.0,bearish,0.7657657657657657,6445.81982421875,6448.259765625,0.0003785308110975105,-0.0003785308110975105
2025-09-03,markov_oos_thresh,short,-1.0,bearish,0.7657657657657657,6445.81982421875,6448.259765625,0.0003785308110975105,-0.0003785308110975105
2025-09-03,direct_oos,long,1.0,bearish,,6445.81982421875,6448.259765625,0.0003785308110975105,0.0003785308110975105
2025-09-04,markov_oos_thresh,short,-1.0,bearish,0.7657657657657657,6456.60009765625,6502.080078125,0.007043951891221978,-0.007043951891221978
