"Date (UTC)","Timestamp (UTC)","Price"
"02-23-2025 00:00","1740268804","0.23"
"02-24-2025 00:00","1740355204","0.23"
"02-25-2025 00:00","1740441604","0.235"
"02-26-2025 00:00","1740528005","0.225"
"02-27-2025 00:00","1740614405","0.23"
"02-28-2025 00:00","1740700805","0.215"
"03-01-2025 00:00","1740787205","0.195"
"03-02-2025 00:00","1740873605","0.175"
"03-03-2025 00:00","1740960005","0.175"
"03-04-2025 00:00","1741046405","0.175"
"03-05-2025 00:00","1741132804","0.175"
"03-06-2025 00:00","1741219205","0.165"
"03-07-2025 00:00","1741305605","0.165"
"03-08-2025 00:00","1741392005","0.16"
"03-09-2025 00:00","1741478405","0.16"
"03-10-2025 00:00","1741564804","0.16"
"03-11-2025 00:00","1741651205","0.16"
"03-12-2025 00:00","1741737605","0.16"
"03-13-2025 00:00","1741824006","0.16"
"03-14-2025 00:00","1741910405","0.16"
"03-15-2025 00:00","1741996804","0.16"
"03-16-2025 00:00","1742083204","0.155"
"03-17-2025 00:00","1742169604","0.155"
"03-18-2025 00:00","1742256005","0.155"
"03-19-2025 00:00","1742342405","0.165"
"03-20-2025 00:00","1742428805","0.165"
"03-21-2025 00:00","1742515205","0.165"
"03-22-2025 00:00","1742601606","0.165"
"03-23-2025 00:00","1742688006","0.165"
"03-24-2025 00:00","1742774405","0.165"
"03-25-2025 00:00","1742860806","0.165"
"03-26-2025 00:00","1742947205","0.165"
"03-27-2025 00:00","1743033606","0.155"
"03-28-2025 00:00","1743120006","0.16"
"03-29-2025 00:00","1743206406","0.15"
"03-30-2025 00:00","1743292806","0.15"
"03-31-2025 00:00","1743379205","0.15"
"04-01-2025 00:00","1743465605","0.145"
"04-02-2025 00:00","1743552006","0.155"
"04-03-2025 00:00","1743638405","0.155"
"04-04-2025 00:00","1743724805","0.15"
"04-05-2025 00:00","1743811205","0.16"
"04-06-2025 00:00","1743897605","0.16"
"04-07-2025 00:00","1743984006","0.15"
"04-08-2025 00:00","1744070406","0.15"
"04-09-2025 00:00","1744156806","0.15"
"04-10-2025 00:00","1744243205","0.15"
"04-11-2025 00:00","1744329605","0.155"
"04-12-2025 00:00","1744416006","0.155"
"04-13-2025 00:00","1744502405","0.155"
"04-14-2025 00:00","1744588805","0.155"
"04-15-2025 00:00","1744675205","0.155"
"04-16-2025 00:00","1744761605","0.155"
"04-17-2025 00:00","1744848006","0.155"
"04-18-2025 00:00","1744934404","0.155"
"04-19-2025 00:00","1745020806","0.155"
"04-20-2025 00:00","1745107206","0.155"
"04-21-2025 00:00","1745193606","0.155"
"04-22-2025 00:00","1745280006","0.155"
"04-23-2025 00:00","1745366407","0.155"
"04-24-2025 00:00","1745452806","0.155"
"04-25-2025 00:00","1745539206","0.155"
"04-26-2025 00:00","1745625606","0.155"
"04-27-2025 00:00","1745712005","0.165"
"04-28-2025 00:00","1745798405","0.165"
"04-29-2025 00:00","1745884805","0.165"
"04-30-2025 00:00","1745971206","0.165"
"05-01-2025 00:00","1746057606","0.165"
"05-02-2025 00:00","1746144006","0.155"
"05-03-2025 00:00","1746230406","0.145"
"05-04-2025 00:00","1746316805","0.145"
"05-05-2025 00:00","1746403205","0.145"
"05-06-2025 00:00","1746489606","0.145"
"05-07-2025 00:00","1746576005","0.15"
"05-08-2025 00:00","1746662406","0.13"
"05-09-2025 00:00","1746748807","0.11"
"05-10-2025 00:00","1746835206","0.105"
"05-11-2025 00:00","1746921606","0.105"
"05-12-2025 00:00","1747008006","0.1"
"05-13-2025 00:00","1747094406","0.105"
"05-14-2025 00:00","1747180807","0.105"
"05-15-2025 00:00","1747267207","0.105"
"05-16-2025 00:00","1747353606","0.105"
"05-17-2025 00:00","1747440007","0.105"
"05-18-2025 00:00","1747526406","0.105"
"05-19-2025 00:00","1747612806","0.105"
"05-20-2025 00:00","1747699206","0.115"
"05-21-2025 00:00","1747785606","0.11"
"05-22-2025 00:00","1747872007","0.11"
"05-23-2025 00:00","1747958407","0.115"
"05-24-2025 00:00","1748044807","0.135"
"05-25-2025 00:00","1748131206","0.15"
"05-26-2025 00:00","1748217607","0.135"
"05-27-2025 00:00","1748304006","0.14"
"05-28-2025 00:00","1748390406","0.145"
"05-29-2025 00:00","1748476807","0.135"
"05-30-2025 00:00","1748563207","0.14"
"05-31-2025 00:00","1748649607","0.11"
"06-01-2025 00:00","1748736007","0.11"
"06-02-2025 00:00","1748822406","0.085"
"06-03-2025 00:00","1748908807","0.075"
"06-04-2025 00:00","1748995206","0.09"
"06-05-2025 00:00","1749081606","0.07"
"06-06-2025 00:00","1749168006","0.085"
"06-07-2025 00:00","1749254407","0.085"
"06-08-2025 00:00","1749340807","0.085"
"06-09-2025 00:00","1749427207","0.085"
"06-10-2025 00:00","1749513606","0.08"
"06-11-2025 00:00","1749600007","0.085"
"06-12-2025 00:00","1749686407","0.08"
"06-13-2025 00:00","1749772807","0.08"
"06-14-2025 00:00","1749859208","0.08"
"06-15-2025 00:00","1749945608","0.065"
"06-16-2025 00:00","1750032007","0.065"
"06-17-2025 00:00","1750118408","0.06"
"06-18-2025 00:00","1750204808","0.065"
"06-19-2025 00:00","1750291207","0.065"
"06-20-2025 00:00","1750377608","0.065"
"06-21-2025 00:00","1750464008","0.055"
"06-22-2025 00:00","1750550406","0.06"
"06-23-2025 00:00","1750636807","0.06"
"06-24-2025 00:00","1750723207","0.06"
"06-25-2025 00:00","1750809607","0.055"
"06-26-2025 00:00","1750896008","0.075"
"06-27-2025 00:00","1750982407","0.07"
"06-28-2025 00:00","1751068807","0.07"
"06-29-2025 00:00","1751155208","0.065"
"06-30-2025 00:00","1751241607","0.065"
"07-01-2025 00:00","1751328008","0.065"
"07-02-2025 00:00","1751414407","0.065"
"07-03-2025 00:00","1751500808","0.065"
"07-04-2025 00:00","1751587208","0.065"
"07-05-2025 00:00","1751673608","0.065"
"07-06-2025 00:00","1751760007","0.065"
"07-07-2025 00:00","1751846407","0.07"
"07-08-2025 00:00","1751932808","0.055"
"07-09-2025 00:00","1752019207","0.045"
"07-10-2025 00:00","1752105608","0.055"
"07-11-2025 00:00","1752192008","0.065"
"07-12-2025 00:00","1752278409","0.075"
"07-13-2025 00:00","1752364808","0.07"
"07-14-2025 00:00","1752451207","0.07"
"07-15-2025 00:00","1752537608","0.065"
"07-16-2025 00:00","1752624008","0.075"
"07-17-2025 00:00","1752710408","0.07"
"07-18-2025 00:00","1752796808","0.055"
"07-19-2025 00:00","1752883209","0.06"
"07-20-2025 00:00","1752969608","0.065"
"07-21-2025 00:00","1753056007","0.06"
"07-22-2025 00:00","1753142409","0.06"
"07-23-2025 00:00","1753228809","0.055"
"07-24-2025 00:00","1753315209","0.055"
"07-25-2025 00:00","1753401609","0.055"
"07-26-2025 00:00","1753488009","0.05"
"07-27-2025 00:00","1753574410","0.05"
"07-28-2025 00:00","1753660809","0.05"
"07-29-2025 00:00","1753747210","0.05"
"07-30-2025 00:00","1753833610","0.05"
"07-31-2025 00:00","1753920008","0.05"
"08-01-2025 00:00","1754006409","0.055"
"08-02-2025 00:00","1754092809","0.055"
"08-03-2025 00:00","1754179208","0.055"
"08-04-2025 00:00","1754265607","0.045"
"08-05-2025 00:00","1754352008","0.045"
"08-06-2025 00:00","1754438409","0.055"
"08-07-2025 00:00","1754524806","0.055"
"08-08-2025 00:00","1754611209","0.055"
"08-09-2025 00:00","1754697608","0.055"
"08-10-2025 00:00","1754784006","0.05"
"08-11-2025 00:00","1754870403","0.05"
"08-12-2025 00:00","1754956805","0.06"
"08-13-2025 00:00","1755043205","0.06"
"08-14-2025 00:00","1755129607","0.05"
"08-15-2025 00:00","1755216014","0.055"
"08-16-2025 00:00","1755302410","0.045"
"08-17-2025 00:00","1755388807","0.045"
"08-18-2025 00:00","1755475202","0.045"
"08-19-2025 00:00","1755561616","0.05"
"08-20-2025 00:00","1755648007","0.045"
"08-21-2025 00:00","1755734408","0.045"
"08-22-2025 00:00","1755820803","0.055"
"08-23-2025 00:00","1755907217","0.045"
"08-24-2025 00:00","1755993607","0.045"
"08-25-2025 00:00","1756080011","0.045"
"08-26-2025 00:00","1756166404","0.045"
"08-27-2025 00:00","1756252810","0.045"
"08-28-2025 00:00","1756339210","0.045"
"08-29-2025 00:00","1756425605","0.045"
"08-30-2025 00:00","1756512003","0.045"
"08-31-2025 00:00","1756598417","0.045"
"09-01-2025 00:00","1756684805","0.045"
"09-02-2025 00:00","1756771213","0.045"
"09-03-2025 00:00","1756857612","0.045"
"09-04-2025 00:00","1756944009","0.045"
"09-05-2025 00:00","1757030408","0.045"
"09-06-2025 00:00","1757116821","0.045"
"09-07-2025 00:00","1757203214","0.045"
"09-08-2025 00:00","1757289617","0.045"
"09-09-2025 00:00","1757376014","0.045"
"09-10-2025 00:00","1757462402","0.04"
"09-11-2025 00:00","1757548802","0.035"
"09-12-2025 00:00","1757635227","0.0345"
"09-13-2025 00:00","1757721610","0.031"
"09-14-2025 00:00","1757808019","0.027"
"09-15-2025 00:00","1757894409","0.0305"
"09-16-2025 00:00","1757980805","0.0305"
"09-17-2025 00:00","1758067211","0.03"
"09-18-2025 00:00","1758153611","0.0295"
"09-19-2025 00:00","1758240002","0.028"
"09-20-2025 00:00","1758326422","0.028"
"09-21-2025 00:00","1758412807","0.0345"
"09-22-2025 00:00","1758499217","0.0345"
"09-23-2025 00:00","1758585607","0.035"
"09-24-2025 00:00","1758672003","0.0355"
"09-25-2025 00:00","1758758404","0.034"
"09-26-2025 00:00","1758844813","0.0315"
"09-27-2025 00:00","1758931206","0.026"
"09-28-2025 00:00","1759017608","0.023"
"09-29-2025 00:00","1759104004","0.023"
"09-30-2025 00:00","1759190409","0.0285"
"10-01-2025 00:00","1759276804","0.026"
"10-02-2025 00:00","1759363203","0.0255"
"10-03-2025 00:00","1759449610","0.025"
"10-04-2025 00:00","1759536004","0.025"
"10-05-2025 00:00","1759622405","0.0265"
"10-06-2025 00:00","1759708809","0.0255"
"10-07-2025 00:00","1759795209","0.026"
"10-08-2025 00:00","1759881613","0.0235"
"10-09-2025 00:00","1759968007","0.022"
"10-10-2025 00:00","1760054416","0.0245"
"10-11-2025 00:00","1760140809","0.025"
"10-12-2025 00:00","1760227206","0.0225"
"10-13-2025 00:00","1760313612","0.013"
"10-14-2025 00:00","1760400010","0.0225"
"10-15-2025 00:00","1760486415","0.0195"
"10-16-2025 00:00","1760572813","0.0215"
"10-17-2025 00:00","1760659211","0.0225"
"10-18-2025 00:00","1760745615","0.0215"
"10-19-2025 00:00","1760832010","0.0185"
"10-20-2025 00:00","1760918414","0.0195"
"10-21-2025 00:00","1761004803","0.017"
"10-22-2025 00:00","1761091221","0.018"
"10-23-2025 00:00","1761177611","0.022"
"10-24-2025 00:00","1761264017","0.0185"
"10-25-2025 00:00","1761350416","0.0185"
"10-26-2025 00:00","1761436818","0.0195"
"10-27-2025 00:00","1761523217","0.014"
"10-28-2025 00:00","1761609620","0.015"
"10-29-2025 00:00","1761696019","0.015"
"10-30-2025 00:00","1761782419","0.0145"
"10-31-2025 00:00","1761868813","0.0145"
"11-01-2025 00:00","1761955218","0.0145"
"11-02-2025 00:00","1762041615","0.012"
"11-03-2025 00:00","1762128017","0.012"
"11-04-2025 00:00","1762214418","0.015"
"11-05-2025 00:00","1762300819","0.024"
"11-06-2025 00:00","1762387212","0.023"
"11-06-2025 17:49","1762451346","0.0205"
